image_path,caption_1,caption_2,caption_3,caption_4,caption_5,category
/content/drive/MyDrive/Images/beaches/B (58).jpeg,Good and sunny vibes only,JUST ANOTHER BEACH PIC,On island time,- i sea u,kini kinda life,beaches
/content/drive/MyDrive/Images/beaches/B (60).jpeg,vitamin sea,Girls just wanna have fun (and be tan),"so far, so good",good times & tan lines,"With you, every day is a holiday.",beaches
/content/drive/MyDrive/Images/beaches/B (39).jpeg,salty.,SEA YOU SOON,Take me to the sea.,Saying goodbye to my tan lines Embracing change as the leaves change,Summer called; it wants its warmth back!,beaches
/content/drive/MyDrive/Images/beaches/B (61).jpeg,Girls just wanna have fun (and be tan),Living life in full beach mode,Seas the day and make the most of it.,Pure bliss,golden girl,beaches
/content/drive/MyDrive/Images/beaches/B (52).jpeg,My happy place,"Saltwater cures everything, trust me.",endless summer,Embracing the laid-back charm of Goa.,Where the ocean meets my soul.,beaches
/content/drive/MyDrive/Images/beaches/B (47).jpeg,"Salty hair, tan lines, and Goa vibes.",seas the day,chasing the,Keep palm and carry on.,"Where there's a will, there's a wave! Shell yeah, we're Bali bound!",beaches
/content/drive/MyDrive/Images/beaches/B (37).jpeg,shell yeah!!,Fall is just summer's way of ghosting us,palm beach for the day :),When the ice cream truck stops coming...,"Goa vibes, good times, and endless smiles.",beaches
/content/drive/MyDrive/Images/beaches/B (34).jpeg,shores of gold,'tis the seasun,"surfs up, cowboy just keep swimming","Beach bum for life, no regrets.",Palm trees and 80 degrees,beaches
/content/drive/MyDrive/Images/beaches/B (66).jpeg,salty.,Saltwater kisses,Saying goodbye to my tan lines Embracing change as the leaves change,Sunsets that steal my breath.,Salty kisses and sandy toes make my heart smile.,beaches
/content/drive/MyDrive/Images/beaches/B (46).jpeg,Seas the day and make the most of it.,"Salty hair, tan lines, and Goa vibes.",bama,"Saltwater heart, sandy soul.","Happiness comes in waves, ride them all.",beaches
/content/drive/MyDrive/Images/beaches/B (57).jpeg,"I'm a hot mess, and so is the weather",UV 10,Mermaid state of mind,sandy feet,Tropic like it's hot!,beaches
/content/drive/MyDrive/Images/beaches/B (56).jpeg,"Ocean air, salty hair.",Sunkissed & Sea-Breezed,tropic like it's hot,Take me to the sea.,Palm trees and 80 degrees,beaches
/content/drive/MyDrive/Images/beaches/B (29).jpeg,Shore thing,sandy feet,"Don't worry, beach happy.",Girls just wanna have sun,Goa is the paradise of South Asia!,beaches
/content/drive/MyDrive/Images/beaches/B (49).jpeg,Here comes the sun,LIFE IS BETTER IN THE SUN,Party szn,Life is better with a tan,Exploring the beauty of the Caribbean.,beaches
/content/drive/MyDrive/Images/beaches/B (14).jpeg,under the sun,worth the drive,I'm a firm believer in 'go big or go Bali',"Where there's a will, there's a wave! Shell yeah, we're Bali bound!",Time to retire my swimsuit until next year,beaches
/content/drive/MyDrive/Images/beaches/B (84).jpeg,UV 10,More burnt than tan,Swimming in stars,Sparkle like a mermaid,Lost in the beauty of Goa's coastal paradise.,beaches
/content/drive/MyDrive/Images/beaches/B (69).jpeg,sandy cheeks - tanning 24/7,Basking in bikini weather Aqua adventures,"Salty hair, tan lines, and Goa vibes.",salty.,"so far, so good",beaches
/content/drive/MyDrive/Images/beaches/B (99).jpeg,Tidal waves and sunny days,spf 1000,"Don't worry, beach happy.","Ocean air, salty hair, and endless laughter.",Take me to the sea.,beaches
/content/drive/MyDrive/Images/beaches/B (76).jpeg,Beach Bum,"In Miami, the days are lazy and the nights are crazy",Who wants to play mermaids with us?,deck docks & flip flops,"Life's a beach, enjoy the waves.",beaches
/content/drive/MyDrive/Images/beaches/B (44).jpeg,happiness comes in waves,"surfs up, cowboy","Shell yeah, I'm beachin' today.",This place is unreal!,We shore are happy to be in Bali!,beaches
/content/drive/MyDrive/Images/beaches/B (68).jpeg,"Saltwater cures everything, trust me.",FOR INSTAGRAM,myrtle beach,Tidal waves and sunny days,Take me to the sea.,beaches
/content/drive/MyDrive/Images/beaches/B (80).jpeg,"The beach called, I answered",I love it here,stay wavy baby,shores of gold,Beachin it,beaches
/content/drive/MyDrive/Images/beaches/B (95).jpeg,Tropical dreams do come true.,A mermaid's life for me,I am happy anywhere I am with you.,tan in progress,photosynthesis,beaches
/content/drive/MyDrive/Images/beaches/B (65).jpeg,Ocean breeze,Saltwater kisses,Cold coconuts and palm trees. Find me under the palms.,Miami looks good on me,"I'm not always a frozen cocktail kind of person, but I definitely am in",beaches
/content/drive/MyDrive/Images/beaches/B (53).jpeg,Happy season,Don't need a man when I got a tan Vitamin Seag,"blue sky, denim shorts, and a salty tan",vitamin sea,"I fell in love. His name is Bali Dear Bali, I will never get over you",beaches
/content/drive/MyDrive/Images/beaches/B (67).jpeg,"Happiness comes in waves, ride them all.",pov me at the beach,Who needs sleep?!,Ocean whispers Rays and waves,LIFE IS BETTER IN THE SUN,beaches
/content/drive/MyDrive/Images/beaches/B (78).jpeg,tan in progress,Grateful for beach days and the memories we make.,Living life in full beach mode,waves for days%,chasing the,beaches
/content/drive/MyDrive/Images/beaches/B (75).jpeg,Saying goodbye to my tan lines Embracing change as the leaves change,Deep shades and blue waters.,Living my best beach life.,Happiness comes in waves Mentally on the beach,forever an ocean lover,beaches
/content/drive/MyDrive/Images/beaches/B (55).jpeg,Here comes the sun,UV 10,summer well spent,Islands state of mind.,A mermaid's life for me,beaches
/content/drive/MyDrive/Images/beaches/B (82).jpeg,a bikini kinda life,salty.,busy playing mermaids,"Toes in the sand, worries in the wind.","In Miami, the days are lazy and the nights are crazy",beaches
/content/drive/MyDrive/Images/beaches/B (83).jpeg,son of a beach,Mermaid in training,Ocean's daughter,Can't be crabby in Bali.,Sunshine is the best medicine.,beaches
/content/drive/MyDrive/Images/beaches/B (100).jpeg,"Sandy toes, sun-kissed nose.",sun bum,livin the best life,summer lovin,sea you soon,beaches
/content/drive/MyDrive/Images/beaches/B (63).jpeg,Sea dreams and mermaid schemes,This place is unreal!,"Life's a beach, just add some sand",Back to the ocean,I love it here,beaches
/content/drive/MyDrive/Images/beaches/B (77).jpeg,"Saltwater cures everything, trust me.",under the sun,"Happiness comes in waves, ride them all.",spf 1000,Living my best beach life,beaches
/content/drive/MyDrive/Images/beaches/B (45).jpeg,beach babes,i like to dance with the water,B.E.A.C.H: Best Escape Anyone Can Have.,My happy place,My fav place,beaches
/content/drive/MyDrive/Images/beaches/B (72).jpeg,Had a chicken fight after this!,Grateful for beach days and the memories we make.,photosynthesis,My Happy Place,Sandy toes and sun bleached nose,beaches
/content/drive/MyDrive/Images/beaches/B (90).jpeg,I love you as much as a tropical island.,Here comes the sun,Seas the day!,sun+sand+sea = happiness,Bikini and barefoot,beaches
/content/drive/MyDrive/Images/beaches/B (94).jpeg,Bikini and beach hair,Girls just wanna have sun,Stay wavy,Chasing sunsets and collecting memories in Goa.,"Shell yeah, I'm beachin' today.",beaches
/content/drive/MyDrive/Images/beaches/B (71).jpeg,Beach bum,Seas the day!,Salty hair and tan skin,My favorite place in the whole world!,reflections of beauty,beaches
/content/drive/MyDrive/Images/beaches/B (81).jpeg,tan in progress,tropic like it's hot,Beachin' it up with my favorite people.,Soak up the sun and let your worries fade.,love it here,beaches
/content/drive/MyDrive/Images/beaches/B (73).jpeg,Beachin' it up with my favorite people.,Good times and tan lines,Girls just wanna have sun,Here comes the sun,Mermaid vibes only,beaches
/content/drive/MyDrive/Images/beaches/B (88).jpeg,"Toes in the sand, worries in the wind.",Pure bliss,My happy place,Seas the day!,Exploring the beauty of the Caribbean.,beaches
/content/drive/MyDrive/Images/beaches/B (64).jpeg,"Goa vibes, good times, and endless smiles.",sweet sweet summertime,hakunamatata,Sunshine is the best medicine.,"Cool, palm, and collected.",beaches
/content/drive/MyDrive/Images/beaches/B (79).jpeg,Salty but sweet,livin the best life,sunshine on my mind,Don't need a man when I got a tan Vitamin Seag,Can't wait to be back. This place is my happy place.,beaches
/content/drive/MyDrive/Images/beaches/B (86).jpeg,Feeling shore-tastic.,Happiness comes in waves Mentally on the beach,"Toes in the sand, worries in the wind.",Chasing the sun,Saltwater kisses,beaches
/content/drive/MyDrive/Images/beaches/B (96).jpeg,bama,Our beach trip deserves a sanding ovation.,Seas the day and make the most of it.,JUST ANOTHER BEACH PIC,Here if you need me,beaches
/content/drive/MyDrive/Images/beaches/B (97).jpeg,Salty kisses and sandy toes make my heart smile.,Beachfront bliss,Fall in love with every season,When the ice cream truck stops coming...,Happiness is Bali baby!,beaches
/content/drive/MyDrive/Images/beaches/B (85).jpeg,Chase the sun.,Take me to the sea.,Mermaid and proud,current status,Soak up the sun and let your worries fade.,beaches
/content/drive/MyDrive/Images/beaches/B (48).jpeg,"Ocean air, salty hair, and endless laughter.",My summer romance with ice cream is over,We shore are happy to be in Bali!,Sea dreams and mermaid schemes,The ocean is calling,beaches
/content/drive/MyDrive/Images/beaches/B (89).jpeg,salty.,Palm trees and 80 degrees,Currently 90% frozen cocktails,SHELL YEAH,Feeling grateful for this beautiful day.,beaches
/content/drive/MyDrive/Images/beaches/B (91).jpeg,"high tides, god vibes",Seas the day!,Mermaid in training,Postcard from the beach,livin the best life,beaches
/content/drive/MyDrive/Images/beaches/B (92).jpeg,sea ya,Vacation vibes!,love it here,Sunburned and summer-fried,where i'd rather be,beaches
/content/drive/MyDrive/Images/beaches/B (93).jpeg,Mermaid magic is real,Fall is just summer's way of ghosting us,Pool photos,tropic like it's hot,Beachin' it up with my favorite people.,beaches
/content/drive/MyDrive/Images/beaches/B (98).jpeg,"Salt in my hair, sand in my toes. Coastal escape.",florida dump,Exploring the beauty of the coast.,"You, me, and a tropical island.",livin the best life,beaches
/content/drive/MyDrive/Images/beaches/B (59).jpeg,dress code:,"Toes in the sand, worries in the wind.",The best things in life are not things. Exploring my inner hippie.,My summer romance with ice cream is over,"The beach is calling, and I must go.",beaches
/content/drive/MyDrive/Images/beaches/B (74).jpeg,Exploring the beauty of the Caribbean.,Life is a beach,Sipping cocktails with a view.,View 10/10,Not complaining about this view Living my best life!,beaches
/content/drive/MyDrive/Images/beaches/B (87).jpeg,Vacation vibes!,Mermaids are real,"Living the beach life, one wave at a time.",B.E.A.C.H: Best Escape Anyone Can Have.,"Where there's a will, there's a wave! Shell yeah, we're Bali bound!",beaches
/content/drive/MyDrive/Images/desi/D (39).jpeg,398. unpopular opinion but chikankari kurti's and jhumka's,348. Wearing a ethnic is my kind of way to slide into the festive mood.,294. Yeh fitoor mera,"231. Saree, but make it haute",132. Tu bhi akhiyon se kabhi meri akhiyon ki sun,desi
/content/drive/MyDrive/Images/desi/D (44).jpeg,168. Twirling into the weekend in this gorgeous saree.,468. A bindi with the city as a backdrop,Desi:,"333. Don't need AP, i already know munde pagal ne saare","487. Tell me, isn't tradition the new fashion?",desi
/content/drive/MyDrive/Images/desi/D (21).jpeg,275. I'm wearing Indianness in the form of a saree,500. Let my desi swag be like poetry in motion.,180. Desi diva mode: activated,41. Let Desi culture unite us.,434. Creating my own little world,desi
/content/drive/MyDrive/Images/desi/D (33).jpeg,442. I am so attracted to myself right now.,168. Twirling into the weekend in this gorgeous saree.,"474. Living life, one Anarkali twirl at a time","412. In the world of denim and shorts, keep the confidence to flaunt your Kurti",218. Ethnic daydreams,desi
/content/drive/MyDrive/Images/desi/D (7).jpeg,276. Nothing makes an Indian girl look as beautiful as saree does,127. Saree But definitely Not Sorry,491. Adding a hint of ethnicity to my Instagram feed.,244. Shades of yellow,"133. Bindi, thodi nazakat aur ek muskan",desi
/content/drive/MyDrive/Images/desi/D (2).jpeg,88. From Bollywood beats to bhangra vibes.,286. My perfect kurti moments...,"482. Traditional attire, modern charm.",48. Embracing Desi wisdom.,253. लाल ishq,desi
/content/drive/MyDrive/Images/desi/D (9).jpeg,415. Your new obsession,32. This Desi cuteness overload.,17. Spicing up the gram with Desi humor.,434. Creating my own little world,300. Wanna sing chura liya hai tumne Jo Dil but no one is stealing,desi
/content/drive/MyDrive/Images/desi/D (20).jpeg,"460. Modern thinking, traditional look. What a perfect match!",421. haaye these type of accessories,90. Proud of my Desi heritage and its vibrant culture.,339. Uff ‘meri' ada,462. Got that desi feeling!,desi
/content/drive/MyDrive/Images/desi/D (11).jpeg,329. Everyone says: Tum khole baalo main Achi lagti ho..!!! But salar sikhandar says: Tum baal Bhandh lo main baar baar Aapni baatein bhul raha ho.!!!,332. Twirling into culture and couture,14. Unapologetically Desi.,87.Embracing the richness of Desi culture.,456. Saree not sorry.,desi
/content/drive/MyDrive/Images/desi/D (3).jpeg,"477. In a world full of trends, I choose tradition",434. Creating my own little world,433. Wandering and wondering,329. Everyone says: Tum khole baalo main Achi lagti ho..!!! But salar sikhandar says: Tum baal Bhandh lo main baar baar Aapni baatein bhul raha ho.!!!,151. are you gonna feed me samosas while my mehendi is drying,desi
/content/drive/MyDrive/Images/desi/D (29).jpeg,"121. Hey Siri, Play Ambarsariya ♪♪♪","154. aapki andheri raaton k live, choti si chamak",32. Awww-inducing Desi moments.,211. देसी Day out,429. Bringing a touch of magic to your feed,desi
/content/drive/MyDrive/Images/desi/D (28).jpeg,401. Lets flip to traditional,387. desi core,383. Timeless Glamour,300. Wanna sing chura liya hai tumne Jo Dil but no one is stealing,149. लाल ishq,desi
/content/drive/MyDrive/Images/desi/D (37).jpeg,17. Spicing up the gram with Desi humor.,301. Kurti game strong,352. A pop of color for any occasion,368. chaand sifarish,89. Desi culture: a blend of traditions and modernity.,desi
/content/drive/MyDrive/Images/desi/D (16).jpeg,232. Dressing like the desi queen,500. Let my desi swag be like poetry in motion.,340. Just another royal look.,237. Restyled this vintage for the Glam,230. Slaying the saree game with a pinch of swag,desi
/content/drive/MyDrive/Images/desi/D (5).jpeg,347. Let's flip to traditional.!!,387. desi core,451. Six yards of grace and elegance!,290. A pop of color with my kurti,217. Being a desi girl is such a blessing ngl,desi
/content/drive/MyDrive/Images/desi/D (10).jpeg,261. The ph(f)ool you've been looking for,320. Growing and glowing,288. Bringing a pop of color to my feed,"58. Desi vibes, always!","460. Modern thinking, traditional look. What a perfect match!",desi
/content/drive/MyDrive/Images/desi/D (30).jpeg,195. Romanticising my life my life with bindis & jhumkas,1. Celebrate the colors of Desi life.,500. Let my desi swag be like poetry in motion.,"335. Alexa play ""Silky kurti ae""",Desi:,desi
/content/drive/MyDrive/Images/desi/D (22).jpeg,448. Always ready to spread the sass.,230. Slaying the saree game with a pinch of swag,"129. Kabhi Khushi, Always Ghum",261. The ph(f)ool you've been looking for,59. Unapologetically Desi.,desi
/content/drive/MyDrive/Images/desi/D (1).jpeg,179. Gulabi saree aur ek sundar naari,434. Creating my own little world,48. Embracing Desi wisdom.,435. Living my best aesthetic life,180. Desi diva mode: activated,desi
/content/drive/MyDrive/Images/desi/D (45).jpeg,340. Just another royal look.,417. My presence is magic,431. Creating art with every breath,268. The one you've been looking for,73. Living life Desi-style.,desi
/content/drive/MyDrive/Images/desi/D (32).jpeg,"85. Slaying Desi style, one outfit at a time.",458. Traditional clothing over all.,145. Dupatta tera,"79. Saree swag, Desi heart.","478. You don’t need a reason to put on a kurti. You are getting ready, that’s enough reason…",desi
/content/drive/MyDrive/Images/desi/D (8).jpeg,"66. Stay Desi, stay fabulous.",361. Meri samne waale screen ke uss paar ik chaand ka tukda baitha hai,244. Shades of yellow,191. Lets go buy a gajra,353. Making a statement with every drape,desi
/content/drive/MyDrive/Images/desi/D (13).jpeg,73. Living life Desi-style.,186. Aitbar nahi ehtiyat kijiye,403. Wearing a kurta makes u seem stylish without even trying -,371. sometimes all i need are flowers in my hairs,108. Alexa play Dagabaaz re,desi
/content/drive/MyDrive/Images/desi/D (25).jpeg,243. Vintage Desi outfit,499. Taking Indian fashion beyond borders.,"302. Embrace your culture, rock that kurti!",456. Saree not sorry.,163. Jhuming with my jhumkas!,desi
/content/drive/MyDrive/Images/desi/D (4).jpeg,"9. Desi pride, soaring high.","411. Salwar kameez, messy bun, and no makeup is my fashion statement","66. Stay Desi, stay fabulous.",456. Saree not sorry.,"133. Bindi, thodi nazakat aur ek muskan",desi
/content/drive/MyDrive/Images/desi/D (40).jpeg,383. Timeless Glamour,272. Stay sanskari with saree,374. desi looks are the comfort,150. desi looks are the comfort Desi,499. Taking Indian fashion beyond borders.,desi
/content/drive/MyDrive/Images/desi/D (19).jpeg,"322. Alexa, play afreen..",306. Kurti love is real!,268. The one you've been looking for,499. Taking Indian fashion beyond borders.,223. Keeping it glam,desi
/content/drive/MyDrive/Images/desi/D (14).jpeg,236. Cozy never looked so poppin,349. Loving the prints on my dupatta,328. Laal aapke Dil ka haal hai Lagta aap pe kamaal hai,316. All the festive feels,203. desi girl therapy,desi
/content/drive/MyDrive/Images/desi/D (24).jpeg,270. Petition for you to send rishtas,269. Environment friendly patakha,268. The one you've been looking for,"156. In my ""khud hi se maine ishq kiya re"" era",131. Aapki Andheri raton ke liye choti si chamak,desi
/content/drive/MyDrive/Images/desi/D (41).jpeg,371. sometimes all i need are flowers in my hairs,207. You're sign to wear gajra with girlfriend,330. Chaand ka tukda for my Jigar ka tukda,283. Life isn't perfect but my saree draping can be,5. Highlighting Desi charm.,desi
/content/drive/MyDrive/Images/desi/D (27).jpeg,499. Taking Indian fashion beyond borders.,326. Livin',328. Laal aapke Dil ka haal hai Lagta aap pe kamaal hai,"22. Sorry, I only speak Desi.",164. Obsessed with jhumkas!,desi
/content/drive/MyDrive/Images/desi/D (64).jpeg,"441. If you were looking for beauty in the world, I am standing here.",244. Shades of yellow,78. Desi fashion: elegance and tradition.,358. mehendi makes it all a little better,263. Living my desi girl fantasy,desi
/content/drive/MyDrive/Images/desi/D (63).jpeg,"52. Capturing Desi moments, one quote at a time.",281. Being traditional is being classy,98. lets flip to traditional,47. Finding beauty in Desi diversity.,151. are you gonna feed me samosas while my mehendi is drying,desi
/content/drive/MyDrive/Images/desi/D (56).jpeg,"53. Desi stories, endless inspiration.","54. Desi culture, a treasure trove of quotes.",217. Being a desi girl is such a blessing ngl,23. My Desi sense of humor is unbeatable.,"399. Lehenga on point, vibes on fleek",desi
/content/drive/MyDrive/Images/desi/D (12).jpeg,"441. If you were looking for beauty in the world, I am standing here.",110. on my way to get my dupatta stuck in his watch,392. In my param sundari moment,205. the urge to look like how this song sounds,451. Six yards of grace and elegance!,desi
/content/drive/MyDrive/Images/desi/D (31).jpeg,"67. In a world of trends, I remain a classic Desi.","464. Ethnic style, timeless elegance.",68. Desi life: where every meal is a feast and every gathering is a celebration.,245. Desi blue hues,91. Celebrating the diversity of Desi traditions.,desi
/content/drive/MyDrive/Images/desi/D (48).jpeg,316. All the festive feels,417. My presence is magic,"66. Stay Desi, stay fabulous.","133. Bindi, thodi nazakat aur ek muskan",140. Shades of yellow,desi
/content/drive/MyDrive/Images/desi/D (68).jpeg,45. Inspiring Desi connections.,"308. Life is too short to wear boring clothes, wear a colorful kurti instead!","153. Be the dil pe hath rakh kr ""haaye"" to my hairflips",110. on my way to get my dupatta stuck in his watch,89. Desi culture: a blend of traditions and modernity.,desi
/content/drive/MyDrive/Images/desi/D (47).jpeg,2. Embracing my Desi roots.,226. Just another royal look,347. Let's flip to traditional.!!,102. In my 'Desi Girl' Era,371. sometimes all i need are flowers in my hairs,desi
/content/drive/MyDrive/Images/desi/D (52).jpeg,"58. Desi vibes, always!",481. unleashing my inner desi diva,189. Channeling my inner desi girl,202. Flexing the gajra in my hairs,"335. Alexa play ""Silky kurti ae""",desi
/content/drive/MyDrive/Images/desi/D (18).jpeg,"231. Saree, but make it haute","83. Traditional attire, timeless grace.","450. Prince charming, where you at?",257. Chann maahi aaja ve sanu tereiyan udeekan,"22. Sorry, I only speak Desi.",desi
/content/drive/MyDrive/Images/desi/D (69).jpeg,272. Stay sanskari with saree,291. Celebrating the beauty of desi aesthetics.,42. Share your Desi story.,339. Uff ‘meri' ada,136. Pooh bani Pooja,desi
/content/drive/MyDrive/Images/desi/D (62).jpeg,280. Whan a Indian girl wears a saree the world stop to admire,493. My Indian fashion game on point.,"85. Slaying Desi style, one outfit at a time.",481. unleashing my inner desi diva,71. Proud of my Desi heritage.,desi
